声明|此应用由是白白吖独立制作
机动防卫·SH60军用头盔|GiveItem 701030413 1 0 0
机动防卫·SH60面罩|GiveItem 701030414 1 0 0
机动防卫·RUSH战术背包|GiveItem 701030416 1 0 0
火纹·03重型战术头盔|GiveItem 701030417 1 0 0
火纹·AMP7突击背包|GiveItem 701030419 1 0 0
炉焰·DOD9型防爆头盔|GiveItem 701030420 1 0 0
炉焰·治安官重型防弹衣|GiveItem 701030421 1 0 0
鳞纹青胚·IND50重型战术头盔|GiveItem 701030423 1 0 0
鳞纹青胚·BT101战术防弹衣|GiveItem 701030424 1 0 0
长夜终尽·IND70战术头盔|GiveItem 701030426 1 0 0
长夜终尽·AMP7突击背包|GiveItem 701030428 1 0 0
绿林袍泽·IND50重型战术头盔|GiveItem 701030429 1 0 0
绿林袍泽·KN 复合防弹衣|GiveItem 701030430 1 0 0
绿林袍泽·Med野战背包|GiveItem 701030431 1 0 0
北国翠雀·03重型战术头盔|GiveItem 701030432 1 0 0
北国翠雀·926 复合防弹衣|GiveItem 701030433 1 0 0
伯雷罗防毒面具|GiveItem 701030435 1 0 0
幻惑镀膜·SH马斯卡2型头盔|GiveItem 701030438 1 0 0
幻惑镀膜·SH马斯卡面罩|GiveItem 701030439 1 0 0
幻惑镀膜·IMTV 武士攻击型防弹衣|GiveItem 701030440 1 0 0
时空晕眩·IND200头盔|GiveItem 701030441 1 0 0
时空晕眩·6B23防弹衣|GiveItem 701030442 1 0 0
迷幻地带·牛皮背包|GiveItem 701030444 1 0 0
窥天时·KSS战术头盔|GiveItem 701030445 1 0 0
窥天时·斯巴达B型防弹衣|GiveItem 701030446 1 0 0
和平先锋·IND战术头盔|GiveItem 701030448 1 0 0
宝石籽料·FA突击战术头盔|GiveItem 701030452 1 0 0
宝石籽料·防卫者M4重装型防弹衣|GiveItem 701030453 1 0 0
宝石籽料·IND战术头盔|GiveItem 701030454 1 0 0
宝石籽料·IND401型防弹衣|GiveItem 701030455 1 0 0
废墟涂绘·F70战术头盔|GiveItem 701030458 1 0 0
起火点·PAS2型头盔|GiveItem 701030459 1 0 0
废墟涂绘·KN防卫防弹衣|GiveItem 701030460 1 0 0
起火点·H-LC轻型防弹衣|GiveItem 701030461 1 0 0
起火点·牛皮背包|GiveItem 701030464 1 0 0
废墟涂绘·老旧口袋背包|GiveItem 701030465 1 0 0
近卫标记·KN野战指挥官防弹衣|GiveItem 701030466 1 0 0
近卫标记·Med野战背包|GiveItem 701030468 1 0 0
近卫荣誉·03重型战术头盔|GiveItem 701030469 1 0 0
特急医护·KSS战术头盔|GiveItem 701030470 1 0 0
特急医护·SEK堡垒防弹衣|GiveItem 701030471 1 0 0
格勒徽记·F80战术头盔|GiveItem 701030473 1 0 0
格勒徽记·IND401型防弹衣|GiveItem 701030474 1 0 0
格勒徽记·RUSH战术背包|GiveItem 701030475 1 0 0
和平先锋·户外旅行背包|GiveItem 701030484 1 0 0
财团之手·IND战术头盔|GiveItem 701030485 1 0 0
财团之手·户外旅行背包|GiveItem 701030486 1 0 0
腾云骐骥·KSS2型头盔|GiveItem 701030487 1 0 0
腾云骐骥·斯巴达B型防弹衣|GiveItem 701030488 1 0 0
疾速竞技·IND50重型战术头盔|GiveItem 701030491 1 0 0
疾速竞技·BT101战术防弹衣|GiveItem 701030492 1 0 0
“啄木鸟”头盔|GiveItem 701030643 1 0 0
九号特遣组·战术面罩|GiveItem 702010805 1 0 0
森林守望·面罩|GiveItem 702010811 1 0 0
秋日面罩-基础|GiveItem 702010812 1 0 0
秋日面罩-盛会|GiveItem 702010813 1 0 0
雪山迷彩面罩|GiveItem 702010814 1 0 0
都市休闲面罩|GiveItem 702010817 1 0 0
沙漠防风面罩|GiveItem 702010820 1 0 0
绅士·皮革面罩|GiveItem 702010821 1 0 0
零点行动·面罩|GiveItem 702010822 1 0 0
户外骑行面罩|GiveItem 702010823 1 0 0
白狼连队·山地面罩|GiveItem 702010824 1 0 0
黑金·战术面罩|GiveItem 702010825 1 0 0
空勤特遣·战术面罩|GiveItem 702010826 1 0 0
黑金指挥官·面罩|GiveItem 702010829 1 0 0
台风II·竞技面罩|GiveItem 702010830 1 0 0
小猪妖面罩|GiveItem 702010832 1 0 0
机车·骑士面罩|GiveItem 702010844 1 0 0
都市伪装·面罩|GiveItem 702010846 1 0 0
秋宴·节日面罩|GiveItem 702010847 1 0 0
台风Ⅳ·运动面罩|GiveItem 702010849 1 0 0
德尔塔行动·战术面罩|GiveItem 702010853 1 0 0
不败坚守·面罩|GiveItem 702010856 1 0 0
噤声者·特种面罩|GiveItem 702010857 1 0 0
深渊小队面罩（不投放）|GiveItem 702010859 1 0 0
百战金面·防护面罩|GiveItem 702010867 1 0 0
风雪覆面·防护面罩|GiveItem 702010870 1 0 0
速降面罩|GiveItem 702010872 1 0 0
等高线·面罩|GiveItem 702010878 1 0 0
暗链监察面罩|GiveItem 702010880 1 0 0
极地拼图·面罩|GiveItem 702010881 1 0 0
冥河·面罩|GiveItem 702010884 1 0 0
竞技风潮面罩|GiveItem 702010885 1 0 0
南风旧忆·面罩|GiveItem 702010893 1 0 0
汉白玉面罩|GiveItem 702010894 1 0 0
蝮蛇面罩|GiveItem 702010898 1 0 0
TOPTOY·面罩|GiveItem 702010899 1 0 0
白蔷薇·斯黛拉面罩|GiveItem 702040805 1 0 0
梦魇·面罩|GiveItem 702040806 1 0 0
先遣小队面罩|GiveItem 702040807 1 0 0
生化防护服防毒面具|GiveItem 702040810 1 0 0
灰域行动·面罩|GiveItem 702040811 1 0 0
狗幻化前面罩|GiveItem 702040812 1 0 0
鼠幻化前面罩|GiveItem 702040813 1 0 0
园丁面罩|GiveItem 702040814 1 0 0
军用战术安全护目镜|GiveItem 702010901 1 0 0
专业护目镜|GiveItem 702010902 1 0 0
偏光护目镜|GiveItem 702010906 1 0 0
战术护目镜|GiveItem 702010908 1 0 0
摩托防风护目镜|GiveItem 702010909 1 0 0
摩托战术护目镜|GiveItem 702010916 1 0 0
老式滤光护目镜|GiveItem 702010918 1 0 0
三槽护目镜|GiveItem 702010919 1 0 0
攀岩护目镜|GiveItem 702010923 1 0 0
海滨遮光护目镜|GiveItem 702010925 1 0 0
零点行动·护目镜|GiveItem 702010930 1 0 0
白狼连队·山地护目镜|GiveItem 702010935 1 0 0
黑金·宽边护目镜|GiveItem 702010936 1 0 0
空勤特遣·护目镜|GiveItem 702010937 1 0 0
林地战术作战服·护目镜|GiveItem 702010939 1 0 0
黑金指挥官·护目镜|GiveItem 702010940 1 0 0
台风II·运动护目镜|GiveItem 702010941 1 0 0
苏梅克制式安保服·制式护目镜|GiveItem 702010942 1 0 0
森林守望·护目镜|GiveItem 702010945 1 0 0
都市伪装·护目镜|GiveItem 702010946 1 0 0
冬日·雪地护目镜|GiveItem 702010950 1 0 0
千军隼目·护目镜|GiveItem 702010962 1 0 0
燧峰霜雪·护目镜|GiveItem 702010963 1 0 0
速降护目镜|GiveItem 702010965 1 0 0
王国卫队·护目镜|GiveItem 702010969 1 0 0
脉冲信号·护目镜|GiveItem 702010976 1 0 0
战术娘耳机·换色|GiveItem 702019913 1 0 0
冥途归客面罩|GiveItem 702019916 1 0 0
面罩-空|GiveItem 702019991 1 0 0
护甲-空|GiveItem 702019995 1 0 0
头盔-空|GiveItem 702019996 1 0 0
耳机-空|GiveItem 702019999 1 0 0
背包-空|GiveItem 702019981 1 0 0
贴纸-SH12头盔|GiveItem 704010107 1 0 0
喷漆-耳机金狮|GiveItem 705060007 1 0 0
6BNT型头盔|GiveItem 804040501 1 0 0
F70战术头盔|GiveItem 804040901 1 0 0
IND50重型战术头盔|GiveItem 804041101 1 0 0
IND战术头盔|GiveItem 804041201 1 0 0
AS200重型战术头盔|GiveItem 804041401 1 0 0
KSS战术头盔|GiveItem 804041801 1 0 0
SH40军用头盔|GiveItem 804042301 1 0 0
IND200头盔|GiveItem 804042501 1 0 0
03重型战术头盔|GiveItem 804042601 1 0 0
03重型战术头盔|GiveItem 804042602 1 0 0
03重型战术头盔|GiveItem 804042603 1 0 0
03重型战术头盔|GiveItem 804042604 1 0 0
SH50军用头盔|GiveItem 804042801 1 0 0
SH马斯卡2型头盔|GiveItem 804042901 1 0 0
SH60军用头盔|GiveItem 804043201 1 0 0
an95+面罩|GiveItem 804051201 1 0 0
BN30全护甲重装防弹衣|GiveItem 806010101 1 0 0
SA101战术重装防弹衣|GiveItem 806010102 1 0 0
SEK复合防弹衣|GiveItem 808010102 1 0 0
PAS2型头盔|GiveItem 808010104 1 0 0
KN突击防弹衣|GiveItem 808010105 1 0 0
SH马斯卡2型头盔|GiveItem 808010107 1 0 0
SH马斯卡面罩|GiveItem 808010108 1 0 0
IMTV 武士攻击型防弹衣|GiveItem 808010109 1 0 0
SH马斯卡2型头盔|GiveItem 808010111 1 0 0
KN突击防弹衣|GiveItem 808010112 1 0 0
XA4战术背包|GiveItem 808010114 1 0 0
SH马斯卡2型头盔|GiveItem 808010116 1 0 0
SH马斯卡面罩|GiveItem 808010117 1 0 0
SH马斯卡2型头盔|GiveItem 808010119 1 0 0
H-LC轻型防弹衣|GiveItem 808010120 1 0 0
RAL20野外防毒面具|GiveItem 808010122 1 0 0
SH马斯卡2型头盔|GiveItem 808010123 1 0 0
KSS战术头盔|GiveItem 808010124 1 0 0
926 复合防弹衣|GiveItem 808010125 1 0 0
大型登山背包|GiveItem 808010126 1 0 0
SEK堡垒防弹衣|GiveItem 808010127 1 0 0
PAS2型头盔|GiveItem 808010129 1 0 0
KN突击防弹衣|GiveItem 808010130 1 0 0
KSS战术头盔|GiveItem 808010132 1 0 0
斯巴达B型防弹衣|GiveItem 808010134 1 0 0
IND战术头盔|GiveItem 808010135 1 0 0
SH马斯卡2型头盔|GiveItem 808010137 1 0 0
BN30全护甲重装防弹衣|GiveItem 808010138 1 0 0
IND50重型战术头盔|GiveItem 808010139 1 0 0
IND50重型战术头盔|GiveItem 808010140 1 0 0
IND50重型战术头盔|GiveItem 808010142 1 0 0
IND50重型战术头盔|GiveItem 808010143 1 0 0
RAL大目镜防毒面具|GiveItem 808010148 1 0 0
03重型战术头盔|GiveItem 808010149 1 0 0
SH12军用头盔|GiveItem 808010150 1 0 0
中型登山背包|GiveItem 808010152 1 0 0
SH12军用头盔|GiveItem 808010153 1 0 0
中型登山背包|GiveItem 808010155 1 0 0
GS2战术耳机|GiveItem 808010156 1 0 0
GS2战术耳机|GiveItem 808010157 1 0 0
IND70战术头盔|GiveItem 808010158 1 0 0
DOD9型防爆头盔|GiveItem 808010160 1 0 0
BT6重型防弹衣|GiveItem 808010161 1 0 0
防卫者M4重装型防弹衣|GiveItem 808010162 1 0 0
斯巴达B型防弹衣|GiveItem 808010164 1 0 0
KN 复合防弹衣|GiveItem 808010166 1 0 0
野战登山背包|GiveItem 808010168 1 0 0
BT101战术防弹衣|GiveItem 808010169 1 0 0
Med野战背包|GiveItem 808010171 1 0 0
IND50重型战术头盔|GiveItem 808010172 1 0 0
BT101战术防弹衣|GiveItem 808010173 1 0 0
IND70战术头盔|GiveItem 808010175 1 0 0
指挥官A战术耳机|GiveItem 808010176 1 0 0
SH60军用头盔|GiveItem 808010179 1 0 0
SH60面罩|GiveItem 808010180 1 0 0
SH60军用头盔|GiveItem 808010181 1 0 0
BN30全护甲重装防弹衣|GiveItem 808010182 1 0 0
SH50军用头盔|GiveItem 808010185 1 0 0
SH通用防弹面罩|GiveItem 808010186 1 0 0
SH50军用头盔|GiveItem 808010187 1 0 0
03重型战术头盔|GiveItem 808010188 1 0 0
老旧口袋背包|GiveItem 808010189 1 0 0
SH50军用头盔|GiveItem 808010191 1 0 0
SH通用防弹面罩|GiveItem 808010192 1 0 0
SH50军用头盔|GiveItem 808010193 1 0 0
SH50军用头盔|GiveItem 808010194 1 0 0
SH通用防弹面罩|GiveItem 808010195 1 0 0
SH50军用头盔|GiveItem 808010196 1 0 0
03重型战术头盔|GiveItem 808010197 1 0 0
H-LC战术防弹衣|GiveItem 808010198 1 0 0
03重型战术头盔|GiveItem 808010199 1 0 0
防卫者M4重装型防弹衣|GiveItem 808010200 1 0 0
SH马斯卡2型头盔|GiveItem 808010202 1 0 0
SH马斯卡面罩|GiveItem 808010203 1 0 0
SH马斯卡2型头盔|GiveItem 808010204 1 0 0
IND50重型战术头盔|GiveItem 808010205 1 0 0
BT101战术防弹衣|GiveItem 808010206 1 0 0
SH马斯卡2型头盔|GiveItem 808010208 1 0 0
SH马斯卡面罩|GiveItem 808010209 1 0 0
SH马斯卡2型头盔|GiveItem 808010210 1 0 0
SH60军用头盔|GiveItem 808010211 1 0 0
SH60面罩|GiveItem 808010212 1 0 0
SH60军用头盔|GiveItem 808010213 1 0 0
SH50军用头盔|GiveItem 808010214 1 0 0
SH通用防弹面罩|GiveItem 808010215 1 0 0
SH50军用头盔|GiveItem 808010216 1 0 0
IND70战术头盔|GiveItem 808010217 1 0 0
IND70战术头盔|GiveItem 808010218 1 0 0
RSP重装战术头盔|GiveItem 808010220 1 0 0
户外旅行背包|GiveItem 808010222 1 0 0
IND200头盔|GiveItem 808010223 1 0 0
PCA350型防弹衣|GiveItem 808010224 1 0 0
乔尔背包|GiveItem 808010226 1 0 0
公爵面罩头|GiveItem 808010228 1 0 0
SH60军用头盔|GiveItem 808010229 1 0 0
SH60面罩|GiveItem 808010230 1 0 0
SH60军用头盔|GiveItem 808010231 1 0 0
SH马斯卡2型头盔|GiveItem 808010232 1 0 0
SH马斯卡面罩|GiveItem 808010233 1 0 0
SH马斯卡2型头盔|GiveItem 808010234 1 0 0
03重型战术头盔|GiveItem 808010235 1 0 0
03重型战术头盔|GiveItem 808010238 1 0 0
AMP7突击背包|GiveItem 808010240 1 0 0
DOD9型防爆头盔|GiveItem 808010241 1 0 0
治安官重型防弹衣|GiveItem 808010242 1 0 0
SH马斯卡2型头盔|GiveItem 808010244 1 0 0
SH马斯卡面罩|GiveItem 808010245 1 0 0
SH马斯卡2型头盔|GiveItem 808010246 1 0 0
SH50军用头盔|GiveItem 808010247 1 0 0
SH通用防弹面罩|GiveItem 808010248 1 0 0
SH50军用头盔|GiveItem 808010249 1 0 0
指挥官A战术耳机|GiveItem 808010250 1 0 0
GS2战术耳机|GiveItem 808010251 1 0 0
GS2战术耳机|GiveItem 808010252 1 0 0
03重型战术头盔|GiveItem 808010253 1 0 0
SH-4型防毒面具|GiveItem 808010255 1 0 0
IND50重型战术头盔|GiveItem 808010256 1 0 0
KN 复合防弹衣|GiveItem 808010257 1 0 0
AN95重型防爆头盔|GiveItem 808010259 1 0 0
AN95军用防弹面罩|GiveItem 808010260 1 0 0
AN95重型防爆头盔|GiveItem 808010261 1 0 0
F70战术头盔|GiveItem 808010263 1 0 0
SW-5半面罩防毒面具|GiveItem 808010264 1 0 0
FA突击战术头盔|GiveItem 808010267 1 0 0
IND70战术头盔|GiveItem 808010268 1 0 0
6B23防弹衣|GiveItem 904010075 1 0 0
6B13防弹衣|GiveItem 904010076 1 0 0
KN突击防弹衣|GiveItem 904010078 1 0 0
KSS2型头盔|GiveItem 904010080 1 0 0
KSS战术头盔|GiveItem 904010081 1 0 0
F80战术头盔|GiveItem 904010082 1 0 0
SH40军用头盔|GiveItem 904010083 1 0 0
IND战术头盔|GiveItem 904010084 1 0 0
KN制式防弹衣|GiveItem 904010085 1 0 0
AMP7突击背包|GiveItem 904010086 1 0 0
H-LC轻型防弹衣|GiveItem 904010087 1 0 0
6B5型 头盔|GiveItem 904010088 1 0 0
Med野战背包|GiveItem 904010089 1 0 0
GS2战术耳机|GiveItem 904010090 1 0 0
四级防弹衣随机包|GiveItem 904010123 1 0 0
四级头盔随机包|GiveItem 904010124 1 0 0
三级防弹衣随机包|GiveItem 904010125 1 0 0
三级头盔随机包|GiveItem 904010126 1 0 0
三级防弹衣随机包|GiveItem 904010130 1 0 0
四级防弹衣随机包|GiveItem 904010131 1 0 0
四级防弹衣随机包-6个月版本|GiveItem 904010160 1 0 0
【限期】四级头盔随机包|GiveItem 904010179 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010182 1 0 0
【限期】四级头盔随机包|GiveItem 904010186 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010189 1 0 0
【限期】四级头盔随机包|GiveItem 904010193 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010196 1 0 0
【限期】四级头盔随机包|GiveItem 904010238 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010241 1 0 0
【限期】四级头盔随机包|GiveItem 904010275 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010278 1 0 0
【限期】四级头盔随机包|GiveItem 904010317 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010320 1 0 0
【限期】四级头盔随机包|GiveItem 904010333 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010336 1 0 0
【限期】四级头盔随机包|GiveItem 904010344 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010347 1 0 0
【限期】四级头盔随机包|GiveItem 904010806 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010809 1 0 0
【限期】四级头盔随机包|GiveItem 904010813 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010816 1 0 0
【限期】四级头盔随机包|GiveItem 904010820 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010823 1 0 0
【限期】四级头盔随机包|GiveItem 904010827 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010830 1 0 0
【限期】四级头盔随机包|GiveItem 904010834 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010837 1 0 0
【限期】四级头盔随机包|GiveItem 904010842 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010845 1 0 0
【限期】四级头盔随机包|GiveItem 904010849 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010852 1 0 0
【限期】四级头盔随机包|GiveItem 904010856 1 0 0
【限期】四级防弹衣随机包|GiveItem 904010859 1 0 0
2级护甲礼包|GiveItem 904030001 1 0 0
3级护甲礼包|GiveItem 904030002 1 0 0
3级护甲礼包|GiveItem 904030003 1 0 0
4级头盔自选包|GiveItem 904040016 1 0 0
4级防弹衣自选包|GiveItem 904040017 1 0 0
怒火重燃·防弹衣无甲弹挂组合|GiveItem 904800011 1 0 0
怒火重燃·头盔面罩组合|GiveItem 904800012 1 0 0
索尼耳机实物兑换券|GiveItem 905020005 1 0 0
护目镜兑换币|GiveItem 905020051 1 0 0
专业护目镜（激活卡）|GiveItem 906090001 1 0 0
偏光护目镜（激活卡）|GiveItem 906090004 1 0 0
战术护目镜（激活卡）|GiveItem 906090005 1 0 0
摩托防风护目镜（激活卡）|GiveItem 906090006 1 0 0
摩托战术护目镜（激活卡）|GiveItem 906090013 1 0 0
老式滤光护目镜（30天激活卡）|GiveItem 906090015 1 0 0
军用战术安全护目镜（激活卡）|GiveItem 906090016 1 0 0
老式滤光护目镜（激活卡）|GiveItem 906090017 1 0 0
三槽护目镜（激活卡）|GiveItem 906090018 1 0 0
三槽护目镜（30天激活卡）|GiveItem 906090019 1 0 0
专业护目镜（30天激活卡）|GiveItem 906090020 1 0 0
偏光护目镜（30天激活卡）|GiveItem 906090023 1 0 0
三槽护目镜（7天激活卡）|GiveItem 906090024 1 0 0
三槽护目镜（3天激活卡）|GiveItem 906090025 1 0 0
专业护目镜（7天激活卡）|GiveItem 906090028 1 0 0
专业护目镜（3天激活卡）|GiveItem 906090029 1 0 0
偏光护目镜（7天激活卡）|GiveItem 906090030 1 0 0
偏光护目镜（3天激活卡）|GiveItem 906090031 1 0 0
黑金指挥官·Med野战背包(30天体验卡)|GiveItem 906140005 1 0 0
黑金指挥官·03重型战术头盔(30天体验卡)|GiveItem 906140006 1 0 0

肉瘤探测仪|GiveItem 106000020 1 0 0
章鱼棒球帽|GiveItem 301130004 1 0 0
肌肉强度剂|GiveItem 401050006 1 0 0
实验型肌肉战斗强化剂|GiveItem 401050021 1 0 0
特供肌肉战斗强化剂|GiveItem 401050028 1 0 0
活粒苹果汁|GiveItem 404010002 1 0 0
维也娜柠檬饮料|GiveItem 404010003 1 0 0
C++芒果汁|GiveItem 404010004 1 0 0
金丝雀牛奶|GiveItem 404010010 1 0 0
红阳功能饮料|GiveItem 404010011 1 0 0
朗姆饮料|GiveItem 404010012 1 0 0
乐虎功能饮料|GiveItem 404010015 1 0 0
维奥混合预制饮料|GiveItem 404010016 1 0 0
嘉年华特调功能饮料|GiveItem 404010017 1 0 0
巧克力牛奶|GiveItem 404010018 1 0 0
实验型功能饮料“激流”|GiveItem 404010021 1 0 0
实验型电解质饮料“沁绿”|GiveItem 404010022 1 0 0
果仁饮料|GiveItem 404010023 1 0 0
AB周年庆预制饮料（待定）|GiveItem 404010071 1 0 0
AB周年庆预制饮料（待定）|GiveItem 404010072 1 0 0
一罐可口的炖牛肉|GiveItem 404020002 1 0 0
鲮鱼罐头|GiveItem 404020004 1 0 0
红焖牛肉罐头|GiveItem 404020005 1 0 0
盐腌鲱鱼罐头|GiveItem 404020006 1 0 0
饼干|GiveItem 404020007 1 0 0
特力能量棒|GiveItem 404020009 1 0 0
客士原味薯片|GiveItem 404020011 1 0 0
客士黄瓜味薯片|GiveItem 404020012 1 0 0
夜莺牌番茄汁腌鱼|GiveItem 404020013 1 0 0
达荣原厂能量棒|GiveItem 404020017 1 0 0
番茄薯片|GiveItem 404020021 1 0 0
可比克纯切薯片麻辣小龙虾味|GiveItem 404020022 1 0 0
可比克花颜纯切薯片玫瑰青柠味|GiveItem 404020023 1 0 0
可比克小弯曲薯片番茄味|GiveItem 404020024 1 0 0
黑橙巧克力|GiveItem 404020025 1 0 0
海外薯片占位置|GiveItem 404020028 1 0 0
盛冬巧克力|GiveItem 404020035 1 0 0
香酥饼干|GiveItem 404020036 1 0 0
香浓巧克力|GiveItem 404020039 1 0 0
午餐肉罐头|GiveItem 404020045 1 0 0
即食火腿罐头|GiveItem 404020046 1 0 0
欢笑日特别饼干|GiveItem 404020061 1 0 0
欢笑日特别饼干（超级）|GiveItem 404020062 1 0 0
欢笑日特别饼干（普通）|GiveItem 404020063 1 0 0
碧海功能饮料|GiveItem 404020071 1 0 0
金翎功能饮料|GiveItem 404020072 1 0 0
姜饼人饼干|GiveItem 404020077 1 0 0
组合食品包|GiveItem 404020080 1 0 0
食品保鲜箱|GiveItem 407030001 1 0 0
大型食品箱|GiveItem 407030002 1 0 0
咖啡罐|GiveItem 408060009 1 0 0
茶包|GiveItem 408060010 1 0 0
奢华茶具|GiveItem 408060052 1 0 0
古董茶壶|GiveItem 408080010 1 0 0
钓鱼工具箱|GiveItem 408203007 1 0 0
实验型肌肉战斗强化剂模型|GiveItem 408203016 1 0 0
金狮木鱼|GiveItem 408203031 1 0 0
胀气的腌鲱鱼罐头|GiveItem 408203040 1 0 0
盒装马黛茶|GiveItem 408203050 1 0 0
鱼护|GiveItem 408203059 1 0 0
实验型功能饮料“激流”模型|GiveItem 408204006 1 0 0
实验型电解质饮料“沁绿”模型|GiveItem 408204010 1 0 0
果仁饮料|GiveItem 408990373 1 0 0
果仁饮料盖|GiveItem 408990374 1 0 0
“罐装彩虹”饮料|GiveItem 408990389 1 0 0
彩虹饼干|GiveItem 408990391 1 0 0
维利能量·USAS12标准后托垫|GiveItem 701010772 1 0 0
